model,training_seed,shape,mae,relative_l2,max_abs_error,p95_abs_error,p99_abs_error
fine_control,56,three_hole_asymmetric,0.09368383976274966,1.0335956517478542,0.8016336718806997,0.4328261198090149,0.6480539352941557
fine_control,57,slit_bridge,0.1015603873630061,0.8642544060959616,0.7345240901783109,0.4492373477374349,0.5940686328441659
fine_control,57,three_hole_asymmetric,0.09538586448687565,1.01869505112008,0.804379608669551,0.4275053638202462,0.6221063600057238
fine_control,58,slit_bridge,0.10045600407000758,0.8660058015321124,0.7356744376849383,0.4510740530060866,0.5901003804017234
fine_control,58,three_hole_asymmetric,0.09516246943876241,1.0358744633936372,0.7867267194483429,0.4237969478602872,0.6281778231340575
fine_control,59,slit_bridge,0.10370710146321935,0.869408658275252,0.7296307953167707,0.4436078355152131,0.5998097839175605
fine_control,59,three_hole_asymmetric,0.09696322954504916,1.0203015948713912,0.783383038629545,0.418359752267661,0.624599955762929
fine_control,60,slit_bridge,0.1026459422039866,0.8986965952376853,0.8028050100957626,0.4708097364826972,0.617203813619504
fine_control,60,three_hole_asymmetric,0.09427059597460674,1.0591716815588443,0.8722175263563986,0.4462240268701225,0.6599968912442051
mesh_gnn,41,slit_bridge,0.05561083394300778,0.5679226402689137,0.6636915975809097,0.27273531437080234,0.5274690481200811
mesh_gnn,41,three_hole_asymmetric,0.05467728695858472,0.7383033732543598,0.7808570191636681,0.26320370604681553,0.6028008196128645
mesh_gnn,42,slit_bridge,0.061577037452078404,0.5708667839413003,0.6459399366378784,0.26458810300759067,0.5071107986820858
mesh_gnn,42,three_hole_asymmetric,0.061119879663549787,0.7471909237090739,0.7724858625233173,0.25954139811270577,0.5903843749374204
mesh_gnn,43,slit_bridge,0.0584851346025048,0.5654982409186614,0.652937454013154,0.26956863918647284,0.5142406859784383
mesh_gnn,43,three_hole_asymmetric,0.05821566206212347,0.7456867660334763,0.7782235884666443,0.269742006936608,0.5963791369352834
mesh_gnn,44,slit_bridge,0.06328014588982994,0.5889257936486949,0.660856199581176,0.27627740115244703,0.524385839400347
mesh_gnn,44,three_hole_asymmetric,0.06350462121749621,0.7763149319280009,0.7963868375308811,0.27063553013910674,0.616679104633134
mesh_gnn,45,slit_bridge,0.05832587926367221,0.5799113539983337,0.6783913389546796,0.27997438621312537,0.5304498041578841
mesh_gnn,45,three_hole_asymmetric,0.056331815686640974,0.7570376139430347,0.7984099452785449,0.2749007583100933,0.6157299230574022
mesh_gnn,46,slit_bridge,0.058716912574845466,0.5693595852884437,0.6618557478114963,0.26879202165230703,0.5260752346231599
mesh_gnn,46,three_hole_asymmetric,0.059772980031168634,0.744954399716607,0.7801797488890588,0.2593316214827291,0.5961781569868322
mesh_gnn,47,slit_bridge,0.06083973283600949,0.5912032282550441,0.6840690540522337,0.28646343830419935,0.5381259992669798
mesh_gnn,47,three_hole_asymmetric,0.059873109736588506,0.760300052934982,0.7956857971847058,0.27445411596780445,0.6137978893310496
mesh_gnn,48,slit_bridge,0.06183307427859839,0.5883521629137609,0.679969505276531,0.27559848622209754,0.5382746363338079
mesh_gnn,48,three_hole_asymmetric,0.06002804235361939,0.7710968338602794,0.8128236644528806,0.2690752787745623,0.6271289731590072
mesh_gnn,49,slit_bridge,0.06057611660287224,0.5758541070291519,0.6612916053831577,0.2738131998108656,0.5245008623935279
mesh_gnn,49,three_hole_asymmetric,0.060479975218072524,0.7576481844403692,0.794744972884655,0.2619808400551994,0.6117477533649648
mesh_gnn,50,slit_bridge,0.05915312691343478,0.5754736393994212,0.6708066499698907,0.2727268543130412,0.5314091907506806
